milliseconds,null,Input,null,null,null,(null = no Control)
240667,1000.00,552.00,-58191739.00,448.00,-58191739.00,448.00
240673,1000.00,548.00,-58193075.00,452.00,-58193075.00,452.00
240678,1000.00,552.00,-58194439.00,448.00,-58194439.00,448.00
240684,1000.00,550.00,-58195779.00,450.00,-58195779.00,450.00
240689,1000.00,550.00,-58197129.00,450.00,-58197129.00,450.00
240694,1000.00,550.00,-58198479.00,450.00,-58198479.00,450.00
240700,1000.00,547.00,-58199823.00,453.00,-58199823.00,453.00
240705,1000.00,552.00,-58201192.00,448.00,-58201192.00,448.00
240711,1000.00,546.00,-58202524.00,454.00,-58202524.00,454.00
240716,1000.00,552.00,-58203898.00,448.00,-58203898.00,448.00
240721,1000.00,551.00,-58205240.00,449.00,-58205240.00,449.00
240727,1000.00,551.00,-58206587.00,449.00,-58206587.00,449.00
240732,1000.00,549.00,-58207930.00,451.00,-58207930.00,451.00
240738,1000.00,550.00,-58209285.00,450.00,-58209285.00,450.00
240743,1000.00,551.00,-58210637.00,449.00,-58210637.00,449.00
240748,1000.00,549.00,-58211980.00,451.00,-58211980.00,451.00
240754,1000.00,548.00,-58213331.00,452.00,-58213331.00,452.00
240759,1000.00,549.00,-58214689.00,451.00,-58214689.00,451.00
240765,1000.00,549.00,-58216042.00,451.00,-58216042.00,451.00
240770,1000.00,549.00,-58217395.00,451.00,-58217395.00,451.00
240775,1000.00,548.00,-58218746.00,452.00,-58218746.00,452.00
240781,1000.00,547.00,-58220100.00,453.00,-58220100.00,453.00
240786,1000.00,548.00,-58221461.00,452.00,-58221461.00,452.00
240792,1000.00,549.00,-58222819.00,451.00,-58222819.00,451.00
240797,1000.00,549.00,-58224172.00,451.00,-58224172.00,451.00
240802,1000.00,552.00,-58225531.00,448.00,-58225531.00,448.00
240808,1000.00,548.00,-58226867.00,452.00,-58226867.00,452.00
240813,1000.00,552.00,-58228231.00,448.00,-58228231.00,448.00
240819,1000.00,548.00,-58229567.00,452.00,-58229567.00,452.00
240824,1000.00,553.00,-58230933.00,447.00,-58230933.00,447.00
240829,1000.00,547.00,-58232262.00,453.00,-58232262.00,453.00
240835,1000.00,546.00,-58233619.00,454.00,-58233619.00,454.00
240840,1000.00,550.00,-58234989.00,450.00,-58234989.00,450.00
240846,1000.00,550.00,-58236339.00,450.00,-58236339.00,450.00
240851,1000.00,551.00,-58237691.00,449.00,-58237691.00,449.00
240856,1000.00,550.00,-58239036.00,450.00,-58239036.00,450.00
240862,1000.00,547.00,-58240380.00,453.00,-58240380.00,453.00
240867,1000.00,551.00,-58241747.00,449.00,-58241747.00,449.00
240873,1000.00,549.00,-58243090.00,451.00,-58243090.00,451.00
240878,1000.00,551.00,-58244447.00,449.00,-58244447.00,449.00
240883,1000.00,549.00,-58245790.00,451.00,-58245790.00,451.00
240889,1000.00,551.00,-58247147.00,449.00,-58247147.00,449.00
240894,1000.00,552.00,-58248496.00,448.00,-58248496.00,448.00
240900,1000.00,550.00,-58249836.00,450.00,-58249836.00,450.00
240905,1000.00,551.00,-58251188.00,449.00,-58251188.00,449.00
240910,1000.00,550.00,-58252533.00,450.00,-58252533.00,450.00
240916,1000.00,550.00,-58253883.00,450.00,-58253883.00,450.00
240921,1000.00,548.00,-58255229.00,452.00,-58255229.00,452.00
240927,1000.00,546.00,-58256581.00,454.00,-58256581.00,454.00
240932,1000.00,550.00,-58257951.00,450.00,-58257951.00,450.00
240937,1000.00,548.00,-58259297.00,452.00,-58259297.00,452.00
240943,1000.00,550.00,-58260657.00,450.00,-58260657.00,450.00
240948,1000.00,548.00,-58262003.00,452.00,-58262003.00,452.00
240954,1000.00,544.00,-58263351.00,456.00,-58263351.00,456.00
240959,1000.00,547.00,-58264725.00,453.00,-58264725.00,453.00
240964,1000.00,549.00,-58266088.00,451.00,-58266088.00,451.00
240970,1000.00,549.00,-58267441.00,451.00,-58267441.00,451.00
240975,1000.00,549.00,-58268794.00,451.00,-58268794.00,451.00
