Setpoint,Input,Output,CurrentError,previousSignal,previousError
4000.00,1839.00,3823.00,2161.00,-1152358.00,2161.00
4000.00,1836.00,3822.00,2164.00,-1158835.00,2164.00
4000.00,1833.00,3821.00,2167.00,-1165321.00,2167.00
4000.00,1793.00,3820.00,2207.00,-1171742.00,2207.00
4000.00,1792.00,3819.00,2208.00,-1178361.00,2208.00
4000.00,1832.00,3818.00,2168.00,-1185065.00,2168.00
4000.00,1832.00,3817.00,2168.00,-1191569.00,2168.00
4000.00,1832.00,3816.00,2168.00,-1198073.00,2168.00
4000.00,1833.00,3815.00,2167.00,-1204579.00,2167.00
4000.00,1834.00,3814.00,2166.00,-1211082.00,2166.00
4000.00,1796.00,3813.00,2204.00,-1217504.00,2204.00
4000.00,1796.00,3812.00,2204.00,-1224116.00,2204.00
4000.00,1835.00,3811.00,2165.00,-1230806.00,2165.00
4000.00,1837.00,3810.00,2163.00,-1237305.00,2163.00
4000.00,1799.00,3809.00,2201.00,-1243718.00,2201.00
4000.00,1798.00,3808.00,2202.00,-1250319.00,2202.00
4000.00,1837.00,3807.00,2163.00,-1257003.00,2163.00
4000.00,1835.00,3806.00,2165.00,-1263488.00,2165.00
4000.00,1834.00,3805.00,2166.00,-1269981.00,2166.00
4000.00,1794.00,3804.00,2206.00,-1276399.00,2206.00
4000.00,1831.00,3803.00,2169.00,-1283091.00,2169.00
4000.00,1832.00,3802.00,2168.00,-1289600.00,2168.00
4000.00,1833.00,3801.00,2167.00,-1296106.00,2167.00
4000.00,1832.00,3800.00,2168.00,-1302605.00,2168.00
4000.00,1832.00,3799.00,2168.00,-1309109.00,2168.00
4000.00,1832.00,3798.00,2168.00,-1315613.00,2168.00
4000.00,1829.00,3797.00,2171.00,-1322111.00,2171.00
4000.00,1831.00,3796.00,2169.00,-1328628.00,2169.00
4000.00,1830.00,3795.00,2170.00,-1335133.00,2170.00
4000.00,1829.00,3794.00,2171.00,-1341641.00,2171.00
4000.00,1829.00,3793.00,2171.00,-1348154.00,2171.00
4000.00,1829.00,3792.00,2171.00,-1354667.00,2171.00
4000.00,1829.00,3791.00,2171.00,-1361180.00,2171.00
4000.00,1789.00,3790.00,2211.00,-1367613.00,2211.00
4000.00,1829.00,3789.00,2171.00,-1374326.00,2171.00
4000.00,1827.00,3788.00,2173.00,-1380835.00,2173.00
4000.00,1827.00,3787.00,2173.00,-1387354.00,2173.00
4000.00,1827.00,3786.00,2173.00,-1393873.00,2173.00
4000.00,1827.00,3785.00,2173.00,-1400392.00,2173.00
4000.00,1825.00,3784.00,2175.00,-1406907.00,2175.00
4000.00,1786.00,3783.00,2214.00,-1413354.00,2214.00
4000.00,1824.00,3782.00,2176.00,-1420072.00,2176.00
4000.00,1823.00,3781.00,2177.00,-1426598.00,2177.00
4000.00,1821.00,3780.00,2179.00,-1433125.00,2179.00
4000.00,1822.00,3779.00,2178.00,-1439664.00,2178.00
4000.00,1823.00,3778.00,2177.00,-1446200.00,2177.00
4000.00,1821.00,3777.00,2179.00,-1452727.00,2179.00
4000.00,1823.00,3776.00,2177.00,-1459268.00,2177.00
4000.00,1823.00,3775.00,2177.00,-1465799.00,2177.00
4000.00,1822.00,3774.00,2178.00,-1472328.00,2178.00
4000.00,1822.00,3773.00,2178.00,-1478862.00,2178.00
4000.00,1824.00,3772.00,2176.00,-1485400.00,2176.00
4000.00,1820.00,3771.00,2180.00,-1491920.00,2180.00
4000.00,1819.00,3770.00,2181.00,-1498458.00,2181.00
4000.00,1821.00,3769.00,2179.00,-1505005.00,2179.00
4000.00,1820.00,3768.00,2180.00,-1511540.00,2180.00
4000.00,1821.00,3767.00,2179.00,-1518082.00,2179.00
4000.00,1821.00,3766.00,2179.00,-1524619.00,2179.00
4000.00,1818.00,3765.00,2182.00,-1531150.00,2182.00
4000.00,1814.00,3764.00,2186.00,-1537688.00,2186.00
4000.00,1821.00,3763.00,2179.00,-1544260.00,2179.00
4000.00,1819.00,3762.00,2181.00,-1550793.00,2181.00
4000.00,1818.00,3761.00,2182.00,-1557334.00,2182.00
4000.00,1820.00,3760.00,2180.00,-1563884.00,2180.00
4000.00,1820.00,3759.00,2180.00,-1570424.00,2180.00
4000.00,1818.00,3758.00,2182.00,-1576960.00,2182.00
4000.00,1820.00,3757.00,2180.00,-1583510.00,2180.00
4000.00,1821.00,3756.00,2179.00,-1590052.00,2179.00
4000.00,1817.00,3755.00,2183.00,-1596581.00,2183.00
4000.00,1820.00,3754.00,2180.00,-1603136.00,2180.00
4000.00,1816.00,3753.00,2184.00,-1609668.00,2184.00
4000.00,1820.00,3752.00,2180.00,-1616228.00,2180.00
4000.00,1816.00,3751.00,2184.00,-1622760.00,2184.00
4000.00,1818.00,3750.00,2182.00,-1629316.00,2182.00
4000.00,1817.00,3749.00,2183.00,-1635860.00,2183.00
4000.00,1818.00,3748.00,2182.00,-1642411.00,2182.00
4000.00,1817.00,3747.00,2183.00,-1648955.00,2183.00
4000.00,1816.00,3746.00,2184.00,-1655502.00,2184.00
4000.00,1816.00,3745.00,2184.00,-1662054.00,2184.00
4000.00,1812.00,3744.00,2188.00,-1668598.00,2188.00
4000.00,1815.00,3743.00,2185.00,-1675168.00,2185.00
4000.00,1816.00,3742.00,2184.00,-1681725.00,2184.00
4000.00,1813.00,3741.00,2187.00,-1688271.00,2187.00
4000.00,1814.00,3740.00,2186.00,-1694834.00,2186.00
4000.00,1814.00,3739.00,2186.00,-1701392.00,2186.00
4000.00,1775.00,3738.00,2225.00,-1707872.00,2225.00
4000.00,1814.00,3737.00,2186.00,-1714625.00,2186.00
4000.00,1811.00,3736.00,2189.00,-1721177.00,2189.00
4000.00,1810.00,3735.00,2190.00,-1727742.00,2190.00
4000.00,1809.00,3734.00,2191.00,-1734310.00,2191.00
4000.00,1809.00,3733.00,2191.00,-1740883.00,2191.00
4000.00,1810.00,3732.00,2190.00,-1747458.00,2190.00
4000.00,1810.00,3731.00,2190.00,-1754028.00,2190.00
4000.00,1809.00,3730.00,2191.00,-1760596.00,2191.00
4000.00,1808.00,3729.00,2192.00,-1767167.00,2192.00
4000.00,1848.00,3728.00,2152.00,-1773823.00,2152.00
4000.00,1847.00,3727.00,2153.00,-1780277.00,2153.00
4000.00,1807.00,3726.00,2193.00,-1786656.00,2193.00
4000.00,1806.00,3725.00,2194.00,-1793233.00,2194.00
4000.00,1806.00,3724.00,2194.00,-1799815.00,2194.00
4000.00,1806.00,3723.00,2194.00,-1806397.00,2194.00
4000.00,1806.00,3722.00,2194.00,-1812979.00,2194.00
4000.00,1805.00,3721.00,2195.00,-1819559.00,2195.00
4000.00,1849.00,3720.00,2151.00,-1826232.00,2151.00
4000.00,1808.00,3719.00,2192.00,-1832603.00,2192.00
4000.00,1805.00,3718.00,2195.00,-1839173.00,2195.00
4000.00,1807.00,3717.00,2193.00,-1845762.00,2193.00
4000.00,1803.00,3716.00,2197.00,-1852333.00,2197.00
4000.00,1804.00,3715.00,2196.00,-1858926.00,2196.00
4000.00,1803.00,3714.00,2197.00,-1865512.00,2197.00
4000.00,1805.00,3713.00,2195.00,-1872107.00,2195.00
4000.00,1802.00,3712.00,2198.00,-1878686.00,2198.00
4000.00,1803.00,3711.00,2197.00,-1885282.00,2197.00
4000.00,1804.00,3710.00,2196.00,-1891875.00,2196.00
4000.00,1804.00,3709.00,2196.00,-1898463.00,2196.00
4000.00,1803.00,3708.00,2197.00,-1905049.00,2197.00
4000.00,1804.00,3707.00,2196.00,-1911642.00,2196.00
4000.00,1802.00,3706.00,2198.00,-1918226.00,2198.00
4000.00,1802.00,3705.00,2198.00,-1924820.00,2198.00
4000.00,1803.00,3704.00,2197.00,-1931416.00,2197.00
4000.00,1842.00,3703.00,2158.00,-1938085.00,2158.00
4000.00,1801.00,3702.00,2199.00,-1944477.00,2199.00
4000.00,1801.00,3701.00,2199.00,-1951074.00,2199.00
4000.00,1800.00,3700.00,2200.00,-1957669.00,2200.00
4000.00,1842.00,3699.00,2158.00,-1964353.00,2158.00
4000.00,1842.00,3698.00,2158.00,-1970827.00,2158.00
4000.00,1800.00,3697.00,2200.00,-1977217.00,2200.00
4000.00,1803.00,3696.00,2197.00,-1983823.00,2197.00
4000.00,1800.00,3695.00,2200.00,-1990408.00,2200.00
4000.00,1801.00,3694.00,2199.00,-1997010.00,2199.00
4000.00,1800.00,3693.00,2200.00,-2003605.00,2200.00
4000.00,1799.00,3692.00,2201.00,-2010203.00,2201.00
4000.00,1797.00,3691.00,2203.00,-2016802.00,2203.00
4000.00,1838.00,3690.00,2162.00,-2023493.00,2162.00
4000.00,1837.00,3689.00,2163.00,-2029977.00,2163.00
4000.00,1797.00,3688.00,2203.00,-2036386.00,2203.00
4000.00,1795.00,3687.00,2205.00,-2042991.00,2205.00
4000.00,1837.00,3686.00,2163.00,-2049690.00,2163.00
4000.00,1795.00,3685.00,2205.00,-2056095.00,2205.00
4000.00,1798.00,3684.00,2202.00,-2062716.00,2202.00
4000.00,1794.00,3683.00,2206.00,-2069314.00,2206.00
4000.00,1792.00,3682.00,2208.00,-2075928.00,2208.00
4000.00,1793.00,3681.00,2207.00,-2082554.00,2207.00
4000.00,1793.00,3680.00,2207.00,-2089175.00,2207.00
4000.00,1794.00,3679.00,2206.00,-2095798.00,2206.00
4000.00,1833.00,3678.00,2167.00,-2102494.00,2167.00
4000.00,1833.00,3677.00,2167.00,-2108995.00,2167.00
4000.00,1792.00,3676.00,2208.00,-2115414.00,2208.00
4000.00,1832.00,3675.00,2168.00,-2122118.00,2168.00
4000.00,1790.00,3674.00,2210.00,-2128538.00,2210.00
4000.00,1790.00,3673.00,2210.00,-2135168.00,2210.00
4000.00,1830.00,3672.00,2170.00,-2141878.00,2170.00
4000.00,1832.00,3671.00,2168.00,-2148392.00,2168.00
4000.00,1789.00,3670.00,2211.00,-2154810.00,2211.00
4000.00,1790.00,3669.00,2210.00,-2161445.00,2210.00
4000.00,1789.00,3668.00,2211.00,-2168073.00,2211.00
4000.00,1828.00,3667.00,2172.00,-2174784.00,2172.00
4000.00,1830.00,3666.00,2170.00,-2181304.00,2170.00
4000.00,1828.00,3665.00,2172.00,-2187810.00,2172.00
4000.00,1786.00,3664.00,2214.00,-2194242.00,2214.00
4000.00,1785.00,3663.00,2215.00,-2200882.00,2215.00
4000.00,1787.00,3662.00,2213.00,-2207531.00,2213.00
4000.00,1828.00,3661.00,2172.00,-2214252.00,2172.00
4000.00,1824.00,3660.00,2176.00,-2220760.00,2176.00
4000.00,1827.00,3659.00,2173.00,-2227294.00,2173.00
4000.00,1824.00,3658.00,2176.00,-2233807.00,2176.00
4000.00,1784.00,3657.00,2216.00,-2240255.00,2216.00
4000.00,1784.00,3656.00,2216.00,-2246903.00,2216.00
4000.00,1787.00,3655.00,2213.00,-2253557.00,2213.00
4000.00,1826.00,3654.00,2174.00,-2260274.00,2174.00
4000.00,1823.00,3653.00,2177.00,-2266790.00,2177.00
4000.00,1823.00,3652.00,2177.00,-2273321.00,2177.00
4000.00,1825.00,3651.00,2175.00,-2279856.00,2175.00
4000.00,1781.00,3650.00,2219.00,-2286293.00,2219.00
4000.00,1822.00,3649.00,2178.00,-2293032.00,2178.00
4000.00,1823.00,3648.00,2177.00,-2299568.00,2177.00
4000.00,1820.00,3647.00,2180.00,-2306093.00,2180.00
4000.00,1782.00,3646.00,2218.00,-2312557.00,2218.00
4000.00,1782.00,3645.00,2218.00,-2319211.00,2218.00
4000.00,1820.00,3644.00,2180.00,-2325941.00,2180.00
4000.00,1776.00,3643.00,2224.00,-2332393.00,2224.00
4000.00,1820.00,3642.00,2180.00,-2339153.00,2180.00
4000.00,1820.00,3641.00,2180.00,-2345693.00,2180.00
4000.00,1820.00,3640.00,2180.00,-2352233.00,2180.00
4000.00,1778.00,3639.00,2222.00,-2358689.00,2222.00
4000.00,1777.00,3638.00,2223.00,-2365353.00,2223.00
4000.00,1818.00,3637.00,2182.00,-2372104.00,2182.00
4000.00,1818.00,3636.00,2182.00,-2378650.00,2182.00
4000.00,1816.00,3635.00,2184.00,-2385192.00,2184.00
4000.00,1778.00,3634.00,2222.00,-2391668.00,2222.00
4000.00,1777.00,3633.00,2223.00,-2398332.00,2223.00
4000.00,1819.00,3632.00,2181.00,-2405085.00,2181.00
4000.00,1820.00,3631.00,2180.00,-2411630.00,2180.00
4000.00,1775.00,3630.00,2225.00,-2418080.00,2225.00
4000.00,1817.00,3629.00,2183.00,-2424839.00,2183.00
4000.00,1817.00,3628.00,2183.00,-2431388.00,2183.00
4000.00,1816.00,3627.00,2184.00,-2437935.00,2184.00
4000.00,1787.00,3626.00,2213.00,-2444429.00,2213.00
4000.00,1776.00,3625.00,2224.00,-2451046.00,2224.00
4000.00,1815.00,3624.00,2185.00,-2457796.00,2185.00
4000.00,1816.00,3623.00,2184.00,-2464353.00,2184.00
4000.00,1816.00,3622.00,2184.00,-2470905.00,2184.00
4000.00,1775.00,3621.00,2225.00,-2477375.00,2225.00
4000.00,1813.00,3620.00,2187.00,-2484126.00,2187.00
4000.00,1778.00,3619.00,2222.00,-2490617.00,2222.00
4000.00,1773.00,3618.00,2227.00,-2497273.00,2227.00
4000.00,1813.00,3617.00,2187.00,-2504034.00,2187.00
4000.00,1813.00,3616.00,2187.00,-2510595.00,2187.00
4000.00,1774.00,3615.00,2226.00,-2517078.00,2226.00
4000.00,1779.00,3614.00,2221.00,-2523766.00,2221.00
4000.00,1815.00,3613.00,2185.00,-2530501.00,2185.00
4000.00,1811.00,3612.00,2189.00,-2537048.00,2189.00
4000.00,1814.00,3611.00,2186.00,-2543621.00,2186.00
4000.00,1811.00,3610.00,2189.00,-2550173.00,2189.00
4000.00,1810.00,3609.00,2190.00,-2556738.00,2190.00
4000.00,1813.00,3608.00,2187.00,-2563314.00,2187.00
4000.00,1771.00,3607.00,2229.00,-2569791.00,2229.00
4000.00,1810.00,3606.00,2190.00,-2576556.00,2190.00
4000.00,1807.00,3605.00,2193.00,-2583120.00,2193.00
4000.00,1810.00,3604.00,2190.00,-2589705.00,2190.00
4000.00,1808.00,3603.00,2192.00,-2596271.00,2192.00
4000.00,1813.00,3602.00,2187.00,-2602857.00,2187.00
4000.00,1809.00,3601.00,2191.00,-2609410.00,2191.00
4000.00,1766.00,3600.00,2234.00,-2615897.00,2234.00
4000.00,1806.00,3599.00,2194.00,-2622679.00,2194.00
4000.00,1809.00,3598.00,2191.00,-2629267.00,2191.00
4000.00,1805.00,3597.00,2195.00,-2635832.00,2195.00
4000.00,1806.00,3596.00,2194.00,-2642419.00,2194.00
4000.00,1804.00,3595.00,2196.00,-2648997.00,2196.00
4000.00,1805.00,3594.00,2195.00,-2655587.00,2195.00
4000.00,1808.00,3593.00,2192.00,-2662178.00,2192.00
4000.00,1806.00,3592.00,2194.00,-2668750.00,2194.00
4000.00,1806.00,3591.00,2194.00,-2675332.00,2194.00
4000.00,1765.00,3590.00,2235.00,-2681832.00,2235.00
4000.00,1764.00,3589.00,2236.00,-2688535.00,2236.00
4000.00,1763.00,3588.00,2237.00,-2695241.00,2237.00
4000.00,1807.00,3587.00,2193.00,-2702040.00,2193.00
4000.00,1798.00,3586.00,2202.00,-2708601.00,2202.00
4000.00,1803.00,3585.00,2197.00,-2715217.00,2197.00
4000.00,1795.00,3584.00,2205.00,-2721792.00,2205.00
4000.00,1804.00,3583.00,2196.00,-2728425.00,2196.00
4000.00,1803.00,3582.00,2197.00,-2735011.00,2197.00
4000.00,1805.00,3581.00,2195.00,-2741606.00,2195.00
4000.00,1762.00,3580.00,2238.00,-2748105.00,2238.00
4000.00,1807.00,3579.00,2193.00,-2754909.00,2193.00
4000.00,1802.00,3578.00,2198.00,-2761478.00,2198.00
